country,countryLabel,capital,capitalLabel
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q5838,Kabul
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q19689,Tirana
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q3561,Algiers
http://www.wikidata.org/entity/Q228,Andorra,http://www.wikidata.org/entity/Q1863,Andorra la Vella
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q3897,Luanda
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,http://www.wikidata.org/entity/Q36262,Saint John's
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1486,Buenos Aires
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q1953,Yerevan
http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q3114,Canberra
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q9248,Baku
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q3882,Manama
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q1354,Dhaka
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q36168,Bridgetown
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q2280,Minsk
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q239,Brussels
http://www.wikidata.org/entity/Q242,Belize,http://www.wikidata.org/entity/Q3043,Belmopan
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q3799,Porto-Novo
http://www.wikidata.org/entity/Q917,Bhutan,http://www.wikidata.org/entity/Q9270,Thimphu
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q1491,La Paz
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q2907,Sucre
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q11194,Sarajevo
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q3919,Gaborone
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2844,Brasília
http://www.wikidata.org/entity/Q921,Brunei,http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan
http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q472,Sofia
http://www.wikidata.org/entity/Q965,Burkina Faso,http://www.wikidata.org/entity/Q3777,Ouagadougou
http://www.wikidata.org/entity/Q967,Burundi,http://www.wikidata.org/entity/Q167551,Gitega
http://www.wikidata.org/entity/Q424,Cambodia,http://www.wikidata.org/entity/Q1850,Phnom Penh
http://www.wikidata.org/entity/Q1009,Cameroon,http://www.wikidata.org/entity/Q3808,Yaoundé
http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q1930,Ottawa
http://www.wikidata.org/entity/Q1011,Cape Verde,http://www.wikidata.org/entity/Q3751,Praia
http://www.wikidata.org/entity/Q929,Central African Republic,http://www.wikidata.org/entity/Q3832,Bangui
http://www.wikidata.org/entity/Q657,Chad,http://www.wikidata.org/entity/Q3659,N'Djamena
http://www.wikidata.org/entity/Q298,Chile,http://www.wikidata.org/entity/Q2887,Santiago
http://www.wikidata.org/entity/Q739,Colombia,http://www.wikidata.org/entity/Q2841,Bogotá
http://www.wikidata.org/entity/Q970,Comoros,http://www.wikidata.org/entity/Q3901,Moroni
http://www.wikidata.org/entity/Q800,Costa Rica,http://www.wikidata.org/entity/Q3070,San José
http://www.wikidata.org/entity/Q224,Croatia,http://www.wikidata.org/entity/Q1435,Zagreb
http://www.wikidata.org/entity/Q241,Cuba,http://www.wikidata.org/entity/Q1563,Havana
http://www.wikidata.org/entity/Q229,Cyprus,http://www.wikidata.org/entity/Q3856,Nicosia
http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q1085,Prague
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q3838,Kinshasa
http://www.wikidata.org/entity/Q977,Djibouti,http://www.wikidata.org/entity/Q3604,Djibouti
http://www.wikidata.org/entity/Q784,Dominica,http://www.wikidata.org/entity/Q36281,Roseau
http://www.wikidata.org/entity/Q786,Dominican Republic,http://www.wikidata.org/entity/Q34820,Santo Domingo
http://www.wikidata.org/entity/Q574,East Timor,http://www.wikidata.org/entity/Q9310,Dili
http://www.wikidata.org/entity/Q736,Ecuador,http://www.wikidata.org/entity/Q2900,Quito
http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q85,Cairo
http://www.wikidata.org/entity/Q792,El Salvador,http://www.wikidata.org/entity/Q3110,San Salvador
http://www.wikidata.org/entity/Q983,Equatorial Guinea,http://www.wikidata.org/entity/Q3818,Malabo
http://www.wikidata.org/entity/Q986,Eritrea,http://www.wikidata.org/entity/Q3642,Asmara
http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q1770,Tallinn
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q3904,Mbabane
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q101418,Lobamba
http://www.wikidata.org/entity/Q115,Ethiopia,http://www.wikidata.org/entity/Q3624,Addis Ababa
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,http://www.wikidata.org/entity/Q42751,Palikir
http://www.wikidata.org/entity/Q712,Fiji,http://www.wikidata.org/entity/Q38807,Suva
http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q1757,Helsinki
http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q90,Paris
http://www.wikidata.org/entity/Q1000,Gabon,http://www.wikidata.org/entity/Q3825,Libreville
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q994,Tbilisi
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q64,Berlin
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q3761,Accra
http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q1524,Athens
http://www.wikidata.org/entity/Q769,Grenada,http://www.wikidata.org/entity/Q41547,St. George's
http://www.wikidata.org/entity/Q774,Guatemala,http://www.wikidata.org/entity/Q1555,Guatemala City
http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q3733,Conakry
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,http://www.wikidata.org/entity/Q3739,Bissau
http://www.wikidata.org/entity/Q734,Guyana,http://www.wikidata.org/entity/Q10717,Georgetown
http://www.wikidata.org/entity/Q790,Haiti,http://www.wikidata.org/entity/Q34261,Port-au-Prince
http://www.wikidata.org/entity/Q783,Honduras,http://www.wikidata.org/entity/Q3238,Tegucigalpa
http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q1781,Budapest
http://www.wikidata.org/entity/Q189,Iceland,http://www.wikidata.org/entity/Q1764,Reykjavík
http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q987,New Delhi
http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q3630,Jakarta
http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q3616,Tehran
http://www.wikidata.org/entity/Q796,Iraq,http://www.wikidata.org/entity/Q1530,Baghdad
http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q1218,Jerusalem
http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q220,Rome
http://www.wikidata.org/entity/Q1008,Ivory Coast,http://www.wikidata.org/entity/Q3768,Yamoussoukro
http://www.wikidata.org/entity/Q766,Jamaica,http://www.wikidata.org/entity/Q34692,Kingston
http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1490,Tokyo
http://www.wikidata.org/entity/Q810,Jordan,http://www.wikidata.org/entity/Q3805,Amman
http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q1520,Astana
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q3870,Nairobi
http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,http://www.wikidata.org/entity/Q1748,Copenhagen
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q727,Amsterdam
http://www.wikidata.org/entity/Q710,Kiribati,http://www.wikidata.org/entity/Q131233,South Tarawa
http://www.wikidata.org/entity/Q817,Kuwait,http://www.wikidata.org/entity/Q35178,Kuwait City
http://www.wikidata.org/entity/Q813,Kyrgyzstan,http://www.wikidata.org/entity/Q9361,Bishkek
http://www.wikidata.org/entity/Q819,Laos,http://www.wikidata.org/entity/Q9326,Vientiane
http://www.wikidata.org/entity/Q211,Latvia,http://www.wikidata.org/entity/Q1773,Riga
http://www.wikidata.org/entity/Q822,Lebanon,http://www.wikidata.org/entity/Q3820,Beirut
http://www.wikidata.org/entity/Q1013,Lesotho,http://www.wikidata.org/entity/Q3909,Maseru
http://www.wikidata.org/entity/Q1014,Liberia,http://www.wikidata.org/entity/Q3748,Monrovia
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q3579,Tripoli
http://www.wikidata.org/entity/Q347,Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz
http://www.wikidata.org/entity/Q37,Lithuania,http://www.wikidata.org/entity/Q216,Vilnius
http://www.wikidata.org/entity/Q32,Luxembourg,http://www.wikidata.org/entity/Q1842,Luxembourg
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q3915,Antananarivo
http://www.wikidata.org/entity/Q1020,Malawi,http://www.wikidata.org/entity/Q3876,Lilongwe
http://www.wikidata.org/entity/Q833,Malaysia,http://www.wikidata.org/entity/Q1865,Kuala Lumpur
http://www.wikidata.org/entity/Q826,Maldives,http://www.wikidata.org/entity/Q9347,Malé
http://www.wikidata.org/entity/Q912,Mali,http://www.wikidata.org/entity/Q3703,Bamako
http://www.wikidata.org/entity/Q233,Malta,http://www.wikidata.org/entity/Q23800,Valletta
http://www.wikidata.org/entity/Q709,Marshall Islands,http://www.wikidata.org/entity/Q12919,Majuro
http://www.wikidata.org/entity/Q1025,Mauritania,http://www.wikidata.org/entity/Q3688,Nouakchott
http://www.wikidata.org/entity/Q1027,Mauritius,http://www.wikidata.org/entity/Q3929,Port Louis
http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q1489,Mexico City
http://www.wikidata.org/entity/Q217,Moldova,http://www.wikidata.org/entity/Q21197,Chișinău
http://www.wikidata.org/entity/Q235,Monaco,http://www.wikidata.org/entity/Q55115,Monaco City
http://www.wikidata.org/entity/Q711,Mongolia,http://www.wikidata.org/entity/Q23430,Ulaanbaatar
http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q3551,Rabat
http://www.wikidata.org/entity/Q1029,Mozambique,http://www.wikidata.org/entity/Q3889,Maputo
http://www.wikidata.org/entity/Q836,Myanmar,http://www.wikidata.org/entity/Q37400,Naypyidaw
http://www.wikidata.org/entity/Q1030,Namibia,http://www.wikidata.org/entity/Q3935,Windhoek
http://www.wikidata.org/entity/Q697,Nauru,http://www.wikidata.org/entity/Q31026,Yaren District
http://www.wikidata.org/entity/Q837,Nepal,http://www.wikidata.org/entity/Q3037,Kathmandu
http://www.wikidata.org/entity/Q664,New Zealand,http://www.wikidata.org/entity/Q23661,Wellington
http://www.wikidata.org/entity/Q811,Nicaragua,http://www.wikidata.org/entity/Q3274,Managua
http://www.wikidata.org/entity/Q1032,Niger,http://www.wikidata.org/entity/Q3674,Niamey
http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q3787,Abuja
http://www.wikidata.org/entity/Q423,North Korea,http://www.wikidata.org/entity/Q18808,Pyongyang
http://www.wikidata.org/entity/Q221,North Macedonia,http://www.wikidata.org/entity/Q384,Skopje
http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q585,Oslo
http://www.wikidata.org/entity/Q842,Oman,http://www.wikidata.org/entity/Q3826,Muscat
http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q1362,Islamabad
http://www.wikidata.org/entity/Q695,Palau,http://www.wikidata.org/entity/Q515229,Ngerulmud
http://www.wikidata.org/entity/Q804,Panama,http://www.wikidata.org/entity/Q3306,Panama City
http://www.wikidata.org/entity/Q691,Papua New Guinea,http://www.wikidata.org/entity/Q36526,Port Moresby
http://www.wikidata.org/entity/Q733,Paraguay,http://www.wikidata.org/entity/Q2933,Asunción
http://www.wikidata.org/entity/Q148,People's Republic of China,http://www.wikidata.org/entity/Q956,Beijing
http://www.wikidata.org/entity/Q419,Peru,http://www.wikidata.org/entity/Q2868,Lima
http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q1461,Manila
http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw
http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q597,Lisbon
http://www.wikidata.org/entity/Q846,Qatar,http://www.wikidata.org/entity/Q3861,Doha
http://www.wikidata.org/entity/Q27,Republic of Ireland,http://www.wikidata.org/entity/Q1761,Dublin
http://www.wikidata.org/entity/Q971,Republic of the Congo,http://www.wikidata.org/entity/Q3844,Brazzaville
http://www.wikidata.org/entity/Q218,Romania,http://www.wikidata.org/entity/Q19660,Bucharest
http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q649,Moscow
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q3859,Kigali
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,http://www.wikidata.org/entity/Q41295,Basseterre
http://www.wikidata.org/entity/Q760,Saint Lucia,http://www.wikidata.org/entity/Q41699,Castries
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,http://www.wikidata.org/entity/Q41474,Kingstown
http://www.wikidata.org/entity/Q683,Samoa,http://www.wikidata.org/entity/Q36260,Apia
http://www.wikidata.org/entity/Q238,San Marino,http://www.wikidata.org/entity/Q1848,San Marino
http://www.wikidata.org/entity/Q851,Saudi Arabia,http://www.wikidata.org/entity/Q3692,Riyadh
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q3718,Dakar
http://www.wikidata.org/entity/Q403,Serbia,http://www.wikidata.org/entity/Q3711,Belgrade
http://www.wikidata.org/entity/Q1042,Seychelles,http://www.wikidata.org/entity/Q3940,Victoria
http://www.wikidata.org/entity/Q1044,Sierra Leone,http://www.wikidata.org/entity/Q3780,Freetown
http://www.wikidata.org/entity/Q334,Singapore,http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q214,Slovakia,http://www.wikidata.org/entity/Q1780,Bratislava
http://www.wikidata.org/entity/Q215,Slovenia,http://www.wikidata.org/entity/Q437,Ljubljana
http://www.wikidata.org/entity/Q685,Solomon Islands,http://www.wikidata.org/entity/Q40921,Honiara
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q2449,Mogadishu
http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q3926,Pretoria
http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q5465,Cape Town
http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q37701,Bloemfontein
http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q8684,Seoul
http://www.wikidata.org/entity/Q958,South Sudan,http://www.wikidata.org/entity/Q1947,Juba
http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q2807,Madrid
http://www.wikidata.org/entity/Q854,Sri Lanka,http://www.wikidata.org/entity/Q35381,Colombo
http://www.wikidata.org/entity/Q854,Sri Lanka,http://www.wikidata.org/entity/Q41963,Sri Jayawardenepura Kotte
http://www.wikidata.org/entity/Q219060,State of Palestine,http://www.wikidata.org/entity/Q1218,Jerusalem
http://www.wikidata.org/entity/Q219060,State of Palestine,http://www.wikidata.org/entity/Q158119,Ramallah
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q1963,Khartoum
http://www.wikidata.org/entity/Q730,Suriname,http://www.wikidata.org/entity/Q3001,Paramaribo
http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q70,Bern
http://www.wikidata.org/entity/Q858,Syria,http://www.wikidata.org/entity/Q3766,Damascus
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,http://www.wikidata.org/entity/Q3932,São Tomé
http://www.wikidata.org/entity/Q865,Taiwan,http://www.wikidata.org/entity/Q1867,Taipei
http://www.wikidata.org/entity/Q863,Tajikistan,http://www.wikidata.org/entity/Q9365,Dushanbe
http://www.wikidata.org/entity/Q924,Tanzania,http://www.wikidata.org/entity/Q3866,Dodoma
http://www.wikidata.org/entity/Q869,Thailand,http://www.wikidata.org/entity/Q1861,Bangkok
http://www.wikidata.org/entity/Q778,The Bahamas,http://www.wikidata.org/entity/Q2467,Nassau
http://www.wikidata.org/entity/Q1005,The Gambia,http://www.wikidata.org/entity/Q3726,Banjul
http://www.wikidata.org/entity/Q945,Togo,http://www.wikidata.org/entity/Q3792,Lomé
http://www.wikidata.org/entity/Q678,Tonga,http://www.wikidata.org/entity/Q38834,Nuku'alofa
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,http://www.wikidata.org/entity/Q39178,Port of Spain
http://www.wikidata.org/entity/Q17063024,Tsardom of Bulgaria,,
http://www.wikidata.org/entity/Q948,Tunisia,http://www.wikidata.org/entity/Q3572,Tunis
http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q3640,Ankara
http://www.wikidata.org/entity/Q874,Turkmenistan,http://www.wikidata.org/entity/Q23438,Ashgabat
http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q34126,Funafuti
http://www.wikidata.org/entity/Q1036,Uganda,http://www.wikidata.org/entity/Q3894,Kampala
http://www.wikidata.org/entity/Q212,Ukraine,http://www.wikidata.org/entity/Q1899,Kyiv
http://www.wikidata.org/entity/Q878,United Arab Emirates,http://www.wikidata.org/entity/Q1519,Abu Dhabi
http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q61,"Washington, D.C."
http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q1335,Montevideo
http://www.wikidata.org/entity/Q265,Uzbekistan,http://www.wikidata.org/entity/Q269,Tashkent
http://www.wikidata.org/entity/Q686,Vanuatu,http://www.wikidata.org/entity/Q37806,Port Vila
http://www.wikidata.org/entity/Q237,Vatican City,,
http://www.wikidata.org/entity/Q717,Venezuela,http://www.wikidata.org/entity/Q1533,Caracas
http://www.wikidata.org/entity/Q881,Vietnam,http://www.wikidata.org/entity/Q1858,Hanoi
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q2471,Sanaa
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q131694,Aden
http://www.wikidata.org/entity/Q953,Zambia,http://www.wikidata.org/entity/Q3881,Lusaka
http://www.wikidata.org/entity/Q954,Zimbabwe,http://www.wikidata.org/entity/Q3921,Harare
